t_s,Thot_FGM,Tcold_FGM,Thot_BI,Tcold_BI,sigVM_max_FGM,sigVM_max_BI,delta_FGM_um,delta_BI_um
1.59,752.516512803268,641.350775539846,830.201476787151,641.481411861852,224.121614039358,270.42673388048,1423.55454125901,1113.84706838404
1.6,752.839007069701,641.514200704118,830.558097109543,641.648236625281,224.465231930446,270.650540255221,1427.39306725353,1116.99386403159
1.61,753.155359705536,641.674543543844,830.907681304416,641.811800251379,224.802289486193,270.86993490098,1431.15852466438,1120.07835381999
1.62,753.465688405763,641.831861959581,831.250369176045,641.972166186518,225.132913001957,271.085005246548,1434.85231388688,1123.10178949425
1.63,753.770108578922,641.986212776339,831.586297685557,642.129396665625,225.457226300116,271.295836959822,1438.47580789599,1126.06539598535
1.64,754.068733393295,642.137651762617,831.915601015773,642.283552732614,225.775350780495,271.502513986291,1442.03035284306,1128.97037220489
1.65,754.361673821937,642.286233649153,832.238410633595,642.434694260909,226.087405469888,271.705118586159,1445.51726863251,1131.81789178487
1.66,754.649038686699,642.432012147491,832.554855350064,642.582879973917,226.393507070123,271.90373137026,1448.93784947681,1134.60910377033
1.67,754.930934701265,642.575039968337,832.865061378478,642.728167465458,226.693770005136,272.09843133508,1452.29336443428,1137.34513326676
1.68,755.207466513165,642.715368839579,833.169152390577,642.870613220069,226.988306466965,272.289295896602,1455.58505793045,1140.02708205397
1.69,755.478736744933,642.853049524139,833.467249571025,643.010272633111,227.277226460623,272.476400923319,1458.81415026412,1142.65602916489
1.7,755.744846034245,642.988131837481,833.759471670328,643.147200030759,227.56063784813,272.659820768335,1461.98183809779,1145.23303143707
1.71,756.005893073337,643.120664664902,834.045935056207,643.281448689641,227.838646391401,272.839628300779,1465.08929493767,1147.7591240405
1.72,756.261974647473,643.25069597851,834.326753763644,643.413070856359,228.111355794374,273.015894936255,1468.13767160154,1150.23532098208
1.73,756.513185672642,643.378272853922,834.6020395436,643.542117766686,228.378867744119,273.188690666684,1471.1280966717,1152.66261558765
1.74,756.759619232457,643.503441486739,834.871901910481,643.668639664495,228.64128195106,273.358084089419,1474.06167694073,1155.0419809704
1.75,757.00136661427,643.626247208654,835.136448188424,643.792685820426,228.898696188454,273.524142435653,1476.93949784515,1157.37437047923
1.76,757.238517344553,643.746734503378,835.395783556539,643.914304550235,229.151206330887,273.686931598238,1479.76262388899,1159.6607181355
1.77,757.471159223503,643.864947022246,835.650011092973,644.033543232886,229.398906392097,273.846516158798,1482.5320990587,1161.90193905221
1.78,757.699378359027,643.98092759953,835.899231818036,644.150448328299,229.641888561913,274.002959414392,1485.24894722915,1164.09892984274
1.79,757.923259199907,644.094718267551,836.143544736288,644.265065394856,229.88024324242,274.156323403392,1487.91417255854,1166.25256901866
1.8,758.142884568396,644.206360271443,836.383046877711,644.377439106535,230.114059083484,274.306668931008,1490.52875987892,1168.36371737381
1.81,758.358335692047,644.315894083752,836.617833337969,644.487613269844,230.343423017406,274.45405559412,1493.09367507307,1170.43321836029
1.82,758.569692235006,644.423359418689,836.847997317722,644.595630840382,230.568420292912,274.59854180561,1495.6098654492,1172.46189845206
1.83,758.777032328551,644.528795246164,837.073630161143,644.701533939079,230.789134508519,274.740184818263,1498.07826010305,1174.45056750331
1.84,758.980432601129,644.632239805607,837.294821393588,644.805363868268,231.005647645017,274.879040748075,1500.4997702752,1176.40001909403
1.85,759.179968207678,644.733730619447,837.511658758459,644.907161127337,231.218040097502,275.015164597091,1502.87528970056,1178.31103086892
1.86,759.375712858419,644.833304506459,837.724228253239,645.006965428163,231.426390706625,275.148610275777,1505.20569494939,1180.18436486896
1.87,759.567738847077,644.930997594792,837.932614164803,645.104815710238,231.630776789229,275.279430624981,1507.49184576315,1182.0207678528
1.88,759.756117078488,645.026845334792,838.136899103985,645.200750155548,231.831274168391,275.407677437316,1509.73458538294,1183.82097161366
1.89,759.940917095678,645.120882511598,838.337164039372,645.294806203123,232.027957202798,275.533401478253,1511.93474086996,1185.58569328636
1.9,760.122207106389,645.213143257511,838.533488330457,645.387020563376,232.220898815534,275.65665250665,1514.09312342044,1187.31563564921
1.91,760.300054009102,645.303661064097,838.725949760035,645.477429232141,232.410170522355,275.777479294901,1516.21052867609,1189.01148741852
1.92,760.47452341849,645.392468794115,838.914624565949,645.566067504415,232.595842459324,275.895929648763,1518.28773702557,1190.67392353656
1.93,760.645679690428,645.479598693241,839.099587472177,645.652969987939,232.777983409802,276.012050426571,1520.32551390048,1192.30360545348
1.94,760.813585946391,645.565082401515,839.280911719304,645.738170616436,232.956660831189,276.125887558348,1522.32461006622,1193.90118140207
1.95,760.978304097509,645.648950964664,839.458669094286,645.82170266261,233.131940880608,276.237486064231,1524.28576190558,1195.46728666901
1.96,761.139894868052,645.731234845123,839.632929959681,645.903598750965,233.303888440728,276.346890072725,1526.20969170058,1197.00254385673
1.97,761.29841781845,645.811963932931,839.803763282216,645.983890870293,233.472567144496,276.454142838466,1528.09710790309,1198.50756314263
1.98,761.453931367882,645.891167556406,839.971236660815,646.062610385969,233.638039399629,276.559286759763,1529.94870540334,1199.98294253182
1.99,761.606492816429,645.968874492596,840.135416354012,646.139788052054,233.800366412619,276.662363395594,1531.76516579383,1201.42926810382
2,761.756158366722,646.045112977583,840.296367306826,646.215454023064,233.959608212189,276.763413482389,1533.54715762518,1202.84711425478
2.01,761.902983145242,646.119910716563,840.454153177059,646.289637865639,234.11582367231,276.862476950477,1535.29533665945,1204.23704393426
2.02,762.047021223134,646.193294893765,840.608836361092,646.362368569875,234.269070534797,276.959592940146,1537.01034611731,1205.59960887758
2.03,762.188325636659,646.265292182177,840.760478019131,646.433674560511,234.419405431301,277.05479981736,1538.69281692062,1206.9353498321
2.04,762.326948407204,646.335928753081,840.909138099934,646.503583707903,234.566883905021,277.148135189251,1540.34336792943,1208.24479677986
2.05,762.462940560892,646.405230285447,841.054875365044,646.572123338728,234.711560431919,277.239635919238,1541.96260617477,1209.52846915552
2.06,762.596352147874,646.473221975109,841.197747412506,646.639320246586,234.853488441528,277.329338141756,1543.55112708944,1210.78687605871
2.07,762.727232261148,646.539928543825,841.337810700138,646.705200702261,234.992720337244,277.417277276879,1545.10951472796,1212.02051646292
2.08,762.855629055026,646.605374248117,841.475120568308,646.769790463925,235.129307516464,277.503488044506,1546.63834198858,1213.22987942061
2.09,762.981589763342,646.669582887965,841.609731262237,646.833114787054,235.263300389967,277.58800447829,1548.13817082907,1214.4154442618
2.1,763.105160717124,646.732577815394,841.741695953861,646.895198434213,235.394748401241,277.670859939319,1549.60955247459,1215.57768079005
2.11,763.226387362104,646.79438194279,841.871066763249,646.956065684591,235.523700045224,277.752087129429,1551.05302762839,1216.71704947576
2.12,763.345314275702,646.855017751186,841.997894779592,647.015740343392,235.650202886722,277.831718104411,1552.46912667049,1217.83400164368
2.13,763.461985183832,646.914507298307,842.122230081757,647.074245751074,235.774303578518,277.909784286834,1553.85836985923,1218.92897965463
2.14,763.576442977322,646.972872226498,842.244121758398,647.131604792328,235.89604787898,277.986316478573,1555.22126752552,1220.00241708836
2.15,763.688729727936,647.030133770526,842.363617927748,647.187839904988,236.015480669537,278.061344873212,1556.55832026304,1221.05473891847
2.16,763.798886704222,647.086312765175,842.4807657569,647.242973088658,236.132645971588,278.134899068104,1557.87001911646,1222.0863616869
2.17,763.906954386942,647.141429652788,842.595611480757,647.297025913295,236.247586963186,278.207008076183,1559.15684576456,1223.09769367077
